time,sum_roof_albedo_area,domain
2034-01-01,4.81068869432265,HK
2034-02-01,4.81068869432265,HK
2034-03-01,4.81068869432265,HK
2034-04-01,4.81068869432265,HK
2034-05-01,4.81068869432265,HK
2034-06-01,4.81068869432265,HK
2034-07-01,4.81068869432265,HK
2034-08-01,4.81068869432265,HK
2034-09-01,4.81068869432265,HK
2034-10-01,4.81068869432265,HK
2034-11-01,4.81068869432265,HK
2034-12-01,4.81068869432265,HK
2035-01-01,4.81068869432265,HK
2035-02-01,4.81068869432265,HK
2035-03-01,4.81068869432265,HK
2035-04-01,5.554074241286781,HK
2035-05-01,6.297459788250915,HK
2035-06-01,7.040845335215048,HK
2035-07-01,7.78423088217918,HK
2035-08-01,8.527616429143311,HK
2035-09-01,9.271001976107446,HK
2035-10-01,9.271001976107446,HK
2035-11-01,9.271001976107446,HK
2035-12-01,9.271001976107446,HK
2036-01-01,9.271001976107446,HK
2036-02-01,9.271001976107446,HK
2036-03-01,9.271001976107446,HK
2036-04-01,10.014387523071576,HK
2036-05-01,10.75777307003571,HK
2036-06-01,11.501158616999845,HK
2036-07-01,12.244544163963972,HK
2036-08-01,12.987929710928107,HK
2036-09-01,13.731315257892241,HK
2036-10-01,13.731315257892241,HK
2036-11-01,13.731315257892241,HK
2036-12-01,13.731315257892241,HK
2037-01-01,13.731315257892241,HK
2037-02-01,13.731315257892241,HK
2037-03-01,13.731315257892241,HK
2037-04-01,14.474700804856376,HK
2037-05-01,15.218086351820507,HK
2037-06-01,15.961471898784641,HK
2037-07-01,16.70485744574877,HK
2037-08-01,17.448242992712906,HK
2037-09-01,18.191628539677037,HK
2037-10-01,18.191628539677037,HK
2037-11-01,18.191628539677037,HK
2037-12-01,18.191628539677037,HK
2038-01-01,18.191628539677037,HK
2038-02-01,18.191628539677037,HK
2038-03-01,18.191628539677037,HK
2038-04-01,18.935014086641168,HK
2038-05-01,19.678399633605302,HK
2038-06-01,20.421785180569437,HK
2038-07-01,21.16517072753357,HK
2038-08-01,21.9085562744977,HK
2038-09-01,22.651941821461833,HK
2038-10-01,22.651941821461833,HK
2038-11-01,22.651941821461833,HK
2038-12-01,22.651941821461833,HK
2039-01-01,22.651941821461833,HK
2039-02-01,22.651941821461833,HK
2039-03-01,22.651941821461833,HK
2039-04-01,23.395327368425967,HK
2039-05-01,24.138712915390098,HK
2039-06-01,24.88209846235423,HK
2039-07-01,25.62548400931836,HK
2039-08-01,26.368710705310505,HK
2039-09-01,26.75847072421672,HK
2039-10-01,26.75847072421672,HK
2039-11-01,26.75847072421672,HK
2039-12-01,26.75847072421672,HK
2040-01-01,26.75847072421672,HK
2040-02-01,26.75847072421672,HK
2040-03-01,26.75847072421672,HK
2040-04-01,26.75847072421672,HK
2040-05-01,26.75847072421672,HK
2040-06-01,26.75847072421672,HK
2040-07-01,26.75847072421672,HK
2040-08-01,26.75847072421672,HK
2040-09-01,26.75847072421672,HK
2040-10-01,26.75847072421672,HK
2040-11-01,26.75847072421672,HK
2040-12-01,26.75847072421672,HK
2041-01-01,26.75847072421672,HK
2041-02-01,26.75847072421672,HK
2041-03-01,26.75847072421672,HK
2041-04-01,26.75847072421672,HK
2041-05-01,26.75847072421672,HK
2041-06-01,26.75847072421672,HK
2041-07-01,26.75847072421672,HK
2041-08-01,26.75847072421672,HK
2041-09-01,26.75847072421672,HK
2041-10-01,26.75847072421672,HK
2041-11-01,26.75847072421672,HK
2041-12-01,26.75847072421672,HK
2042-01-01,26.75847072421672,HK
2042-02-01,26.75847072421672,HK
2042-03-01,26.75847072421672,HK
2042-04-01,26.75847072421672,HK
2042-05-01,26.75847072421672,HK
2042-06-01,26.75847072421672,HK
2042-07-01,26.75847072421672,HK
2042-08-01,26.75847072421672,HK
2042-09-01,26.75847072421672,HK
2042-10-01,26.75847072421672,HK
2042-11-01,26.75847072421672,HK
2042-12-01,26.75847072421672,HK
